,Unnamed: 0,C_LZ,C_bzip,C_gzip,LZ,LZ_rev,bzip,bzip_rev,conservativity,gzip,gzip_rev,max_model_size,monotonicity,num_chars,order_num,order_type,quantifier,quantity,uniformity
1159,1159,920.751599791176,186.0,384.0,54,46,187,185,True,390,378,9,up,4,0,lex,last_3,False,0.8889146381936577
1160,1160,506.4133798851468,116.0,259.0,27,28,121,111,True,262,256,9,down,4,0,lex,not_all,True,0.9155336972568408
1161,1161,469.5833158934997,120.5,259.0,20,31,130,111,False,257,261,9,up,4,0,lex,not_only,True,0.9155336972568408
1162,1162,1878.333263573999,344.0,527.5,109,95,348,340,True,546,509,9,up,4,0,lex,most,True,0.5946944988040879
1163,1163,1878.333263573999,344.0,527.5,109,95,348,340,False,546,509,9,up,4,0,lex,M,True,0.5946944988040879
1164,1164,690.563699843382,158.5,351.5,47,28,162,155,True,364,339,9,up,4,1,lex,at_least_4,True,0.8505682013252309
1165,1165,589.2810238663526,130.0,308.0,40,24,135,125,True,316,300,9,up,4,1,lex,at_least_6,True,0.9916457811194652
1166,1166,893.1290517974406,202.0,380.0,61,36,222,182,True,403,357,9,non,4,1,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1167,1167,552.4509598747055,108.5,315.0,34,26,91,126,True,318,312,9,non,4,1,lex,even,True,0.5014619883040936
1168,1168,690.563699843382,156.0,353.0,47,28,163,149,True,364,342,9,down,4,1,lex,at_most_3,True,0.8505682013252309
1169,1169,662.9411518496466,147.0,347.5,45,27,157,137,True,358,337,9,up,4,1,lex,at_least_3,True,0.6264863070919308
1170,1170,920.751599791176,193.5,337.5,57,43,199,188,True,354,321,9,up,4,1,lex,first_3,False,0.8889146381936577
1171,1171,920.751599791176,186.0,384.0,54,46,187,185,True,390,378,9,up,4,1,lex,last_3,False,0.8889146381936577
1172,1172,506.4133798851468,116.0,259.0,27,28,121,111,True,262,256,9,down,4,1,lex,not_all,True,0.9155336972568408
